Case ID,Title,Concept Tag,OSI Layer,Severity,Symptom,Expected Fault,Deterministic Rule,AI Confidence,Human Review Status,Reviewer Notes
NET-CASE-011,Guest Wi-Fi Can Access Secure Financial Server,Wireless,Layer 3,Critical,"Guest SSID users on VLAN 40 (192.168.40.0/24) are able to ping and SSH into internal Financial Server at 10.50.1.10.","Missing ACL on Guest VLAN 40 SVI or router interface to isolate guest traffic from internal RFC1918 private subnets.",CHECK_GUEST_ISOLATION,97%,Accepted,"Comprehensive RFC1918 isolation rule with essential DHCP/DNS permits."
NET-CASE-012,DHCP Snooping Dropping Legitimate DHCP Offer Packets,DHCP,Layer 2,High,"Clients on Switch SW-1 fail to receive DHCP leases after security hardening was enabled on the access switch.","Uplink interface GigabitEthernet0/24 connecting to legitimate DHCP server is marked as untrusted under DHCP snooping.",CHECK_DHCP_EXHAUSTION,98%,Accepted,"Verified. Uplink to authorized DHCP server must have 'ip dhcp snooping trust'."
NET-CASE-013,HSRP Active/Standby Virtual IP Mismatch,Gateway,Layer 3,High,"Intermittent network dropouts; PCs occasionally lose default gateway connectivity when R1 primary goes down.","HSRP Group 1 has conflicting virtual IPs: R1 is configured with 192.168.1.254 while R2 has 192.168.1.253.",CHECK_IP_SUBNET,98%,Accepted,"Spot-on diagnosis. Both routers were in Active state due to VIP mismatch."
NET-CASE-014,Static Route Pointing to Wrong Next-Hop IP,Routing,Layer 3,Medium,"Branch router R-Branch cannot route packets to Headquarters subnet 172.16.0.0/16.","Static route next hop configured as 10.0.0.5 (out of local /30 subnet 10.0.0.0/30) instead of HQ interface 10.0.0.1.",CHECK_DEFAULT_ROUTE,97%,Accepted,"Accurate next-hop correction to 10.0.0.1."
NET-CASE-015,Missing 'ip helper-address' for Cross-Subnet DHCP,DHCP,Layer 3,High,"Clients on VLAN 20 (192.168.20.0/24) fail to obtain IP addresses from centralized DHCP server located at 10.10.10.10.","Router interface Gig0/0.20 lacks the 'ip helper-address 10.10.10.10' command needed to relay broadcast DHCP DISCOVER packets.",CHECK_DHCP_EXHAUSTION,98%,Accepted,"Verified. Classic DHCP relay requirement across routed boundaries."
NET-CASE-016,Switchport Access Port Administratively Shutdown,Layer 1/2,Layer 1,Low,"User plugged into wall jack connected to port Fa0/12 has no network link light and zero connectivity.","Port Fa0/12 is administratively disabled ('shutdown').",CHECK_INT_STATUS,99%,Accepted,"Simple shutdown port. Approved fix."
NET-CASE-017,VLAN Pruned from Trunk Port on Distribution Switch,VLAN,Layer 2,High,"Users in VLAN 30 on Access Switch ASW-2 cannot reach any other network services; other VLANs on ASW-2 function normally.","Trunk port Gi0/2 on DSW-1 explicitly allows only VLANs 10,20 ('switchport trunk allowed vlan 10,20'), dropping VLAN 30 frames.",CHECK_VLAN_TRUNK,98%,Accepted,"Always use 'add' keyword so existing allowed VLANs are not overwritten. Fix confirmed."
NET-CASE-018,NAT Overload Access-List Missing Source Subnet,NAT,Layer 3,Critical,"Branch subnet 192.168.2.0/24 cannot access internet, while 192.168.1.0/24 has full internet connectivity through the same NAT gateway.","Standard ACL 1 referenced by the NAT statement permits only 192.168.1.0/24 and does not include 192.168.2.0/24.",CHECK_NAT_OVERLOAD,97%,Accepted,"Verified. Appending permit for second subnet restores NAT translation."
NET-CASE-019,Duplex Mismatch Causing Late Collisions and Extreme Latency,Layer 1/2,Layer 1,Medium,"File transfers between Server-1 and Switch SW1 are extremely slow with 40% packet loss and high latency.","Duplex mismatch: SW1 Fa0/24 is operating at Half-duplex while Server-1 NIC is forced to Full-duplex.",CHECK_INT_STATUS,98%,Accepted,"Matches textbook duplex mismatch signature: late collisions on half-duplex side + CRC errors."
NET-CASE-020,Standard ACL Applied Outbound on Wrong Router Interface,ACL,Layer 3,Critical,"Entire HR department (10.1.10.0/24) lost all internet and internal access after an administrator applied ACL 10 to block access to Server 10.1.50.5.","Standard ACL 10 filters based on source IP. Applying 'deny 10.1.10.0' inbound on Gig0/0 drops all traffic originating from HR department.",CHECK_ACL_BLOCK,99%,Accepted,"Standard ACLs should be placed close to destination, or use Extended ACL with specific destination IP."
NET-CASE-021,RIP Routing Protocol Version 1 / Version 2 Incompatibility,Routing,Layer 3,Medium,"R1 is sending RIP updates for subnets 192.168.10.0/28 and 192.168.10.16/28, but R2's routing table only shows classful summary or ignores routes.","R2 is running default RIPv1 (classful, doesn't send subnet masks), whereas R1 is running RIPv2 with VLSM.",CHECK_OSPF_NEIGHBOR,96%,Accepted,"Upgraded R2 to RIPv2 with auto-summary disabled for proper VLSM support."
NET-CASE-022,Switchport Security Err-Disable Due to MAC Violation,Layer 1/2,Layer 2,Medium,"Port Fa0/5 suddenly shut down when an employee swapped laptops. Interface status shows err-disabled.","Port security violation: Hardcoded MAC address on Fa0/5 did not match new laptop MAC a483.e72b.4491, triggering port shutdown.",CHECK_INT_STATUS,99%,Accepted,"Resetting the err-disabled state with sticky MAC configuration is standard practice."
NET-CASE-023,Static IP Gateway Set to Broadcast Address,Gateway,Layer 3,Medium,"Static IP host 192.168.10.15/28 cannot reach any host outside local subnet.","Default gateway is configured as 192.168.10.15, which is the directed broadcast address of subnet 192.168.10.0/28, rather than router IP 192.168.10.1.",CHECK_IP_SUBNET,98%,Accepted,"Verified broadcast address boundary check."
NET-CASE-024,OSPF Passive Interface Configured on Active Inter-Router Link,Routing,Layer 3,Critical,"R1 and R3 fail to establish OSPF adjacency across link Gig0/2 (10.1.13.0/30). Other OSPF neighbors on R1 work properly.","Interface GigabitEthernet0/2 is configured as a passive-interface, suppressing OSPF Hello packet transmission.",CHECK_OSPF_NEIGHBOR,99%,Edited,"AI diagnosis correct. Added recommendation to follow best practice: 'passive-interface default' with explicit 'no passive-interface' for routed uplinks."
NET-CASE-025,Access VLAN Not Created in VLAN Database,VLAN,Layer 2,High,"All ports assigned to VLAN 50 show inactive status, and devices in VLAN 50 cannot talk to each other or their gateway.","VLAN 50 was assigned to access ports but was never created in the switch VLAN database ('vlan 50').",CHECK_VLAN_TRUNK,98%,Accepted,"Accurately caught 'Access Mode VLAN: (inactive)' condition."
NET-CASE-026,NAT Pool IP Address Conflict with Router Interface,NAT,Layer 3,Critical,"When NAT overload occurs, router console reports duplicate IP address conflicts and outbound TCP sessions drop randomly.","NAT pool PUBLIC_POOL includes 203.0.113.1, which is already assigned to the router's physical interface Gig0/1.",CHECK_NAT_OVERLOAD,97%,Accepted,"Fix excludes router interface IP from pool. Alternatively 'ip nat inside source list 1 interface Gi0/1 overload' can be used."
NET-CASE-027,Dynamic ARP Inspection (DAI) Dropping ARP Requests,Security / ARP,Layer 2,High,"Static IP workstation PC-20 cannot ping its gateway or any peer on the switch; console logs DAI packet drops.","Dynamic ARP Inspection (DAI) is enabled on VLAN 10 without an ARP Access List (ACL) to permit statically addressed hosts not found in the DHCP snooping database.",CHECK_ACL_BLOCK,96%,Accepted,"Proper enterprise fix for static IPs under DAI using ARP ACL filter."
NET-CASE-028,OSPF MTU Mismatch Stuck in EXSTART/EXCHANGE State,Routing,Layer 3,High,"OSPF neighbor state between R1 and R2 stays stuck in EXSTART/EXCHANGE and never progresses to FULL.","Interface MTU mismatch on the OSPF link (R1 MTU 1500 vs R2 MTU 1540), causing Database Description (DBD) packets to be rejected during EXSTART state.",CHECK_OSPF_NEIGHBOR,98%,Accepted,"Standardizing MTU to 1500 allows DBD exchange to complete to FULL state."
NET-CASE-029,Subinterface Encapsulation Dot1Q VLAN Tag Typo,VLAN,Layer 2,High,"Workstations in VLAN 100 cannot communicate with their default gateway 10.100.1.1 on Router R1.","Router subinterface Gig0/0.100 is configured with 'encapsulation dot1Q 10' instead of dot1Q 100.",CHECK_VLAN_TRUNK,99%,Accepted,"Verified encapsulation tag typo fix."
NET-CASE-030,Wireless Guest SSID Mapped to Default Corporate VLAN 1,Wireless,Layer 2,Critical,"Guest Wi-Fi visitors automatically receive IP addresses in the internal management subnet and can access core switches.","The Guest WLAN profile is bound to the 'management' interface (VLAN 1) rather than the dedicated isolated 'Guest-VLAN' (VLAN 90).",CHECK_GUEST_ISOLATION,98%,Accepted,"Critical security risk resolved by binding Guest WLAN to dedicated isolated VLAN 90 interface."
NET-CASE-031,IP Route Blackhole Due to Overlapping Summarization,Routing,Layer 3,High,"Server at 10.20.4.15 in Data Center is unreachable from Branch-A, while server 10.20.1.10 in the same DC works fine.","Static route on R-WAN uses summary mask /22 (10.20.0.0 255.255.252.0), which only covers 10.20.0.0 through 10.20.3.255, omitting 10.20.4.0/24.",CHECK_DEFAULT_ROUTE,97%,Accepted,"Corrected summary mask from /22 to /21 (255.255.248.0) covering 10.20.0.0 - 10.20.7.255."
NET-CASE-032,DHCP Relay Helper Configured with Broadcast Instead of Unicast IP,DHCP,Layer 3,Medium,"Branch PCs fail to get DHCP leases. Router CPU spikes intermittently.","Interface Gig0/0 has 'ip helper-address 255.255.255.255' (local broadcast) instead of unicast IP of the centralized DHCP server 10.1.1.50.",CHECK_DHCP_EXHAUSTION,98%,Accepted,"Verified. Helper address must point to unicast IP of remote DHCP server."
